STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,UNIT_TYPE,DATABASE_ID,TIME_FORMAT,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,PAN,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,15.5,A,Annual,Panama,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,LKA,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,15.75,A,Annual,Sri Lanka,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,UGA,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,17.0,A,Annual,Uganda,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,NER,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,18.5,A,Annual,Niger,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,BRA,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,18.75,A,Annual,Brazil,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,CIV,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,19.0,A,Annual,Cote d'Ivoire,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,LBN,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,19.67,A,Annual,Lebanon,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,IDN,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,20.0,A,Annual,Indonesia,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,COM,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,20.5,A,Annual,Comoros,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,GAB,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,20.5,A,Annual,Gabon,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
